,8-1,8-2,8-3,13-1,13-2,13-3,15-1,15-2,15-3,92-1,92-2,92-3,95-1,95-2,PBS-1,PBS-2
ENSMAUG00000010589,315,380,510,274,324,364,378,428,475,325,347,264,350,213,176,190
ENSMAUG00000004651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000012359,532,685,562,428,384,537,592,572,635,529,608,798,601,600,1236,1135
ENSMAUG00000011101,94,128,92,107,63,112,106,92,110,83,98,106,98,75,90,115
ENSMAUG00000009249,421,560,567,543,523,730,616,528,489,632,706,685,664,620,611,614
ENSMAUG00000010148,73,80,97,68,71,136,129,79,51,91,152,183,106,144,169,140
ENSMAUG00000002194,2,0,3,5,0,1,4,1,0,1,1,0,3,3,0,0
ENSMAUG00000009018,306,410,390,338,344,509,565,479,398,436,492,682,433,651,772,849
ENSMAUG00000010394,177,212,155,201,77,110,109,128,100,113,218,235,173,149,135,127
ENSMAUG00000012164,300,282,150,271,47,126,122,156,111,123,230,263,210,162,172,217
ENSMAUG00000010467,1563,2227,2281,1959,1976,2419,2173,2338,2119,2295,2581,2540,2415,2220,2786,2748
ENSMAUG00000010707,619,738,798,589,586,716,642,680,641,651,598,561,661,520,620,470
ENSMAUG00000009591,554,648,684,539,477,572,581,683,597,553,612,637,528,558,710,686
ENSMAUG00000010943,1464,1979,2286,1642,1852,2350,1962,2906,1678,2130,1947,1576,2037,1794,728,685
ENSMAUG00000013988,40,94,18,112,49,69,105,22,20,36,42,53,58,101,30,49
ENSMAUG00000011614,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0
ENSMAUG00000004530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000014321,1037,1219,1125,1069,1184,1397,1345,1433,1227,1119,1332,1399,1172,1362,1792,1735
ENSMAUG00000011762,357,484,467,310,358,388,331,493,398,389,377,359,384,327,347,378
ENSMAUG00000010915,583,645,535,466,419,476,466,542,647,453,471,465,473,431,399,421
ENSMAUG00000011709,7652,9248,8572,7255,7049,8631,8188,9440,8296,7346,7363,7515,7508,7555,6318,7396
ENSMAUG00000013360,3,9,5,3,8,5,7,5,6,8,2,12,9,4,9,3
ENSMAUG00000011155,5,26,10,19,15,20,36,7,12,21,21,17,19,44,17,24
ENSMAUG00000003656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000011917,2438,2742,2020,1865,1541,2319,2514,1703,2498,1618,2354,2691,2202,2392,3445,4058
ENSMAUG00000011850,20,10,11,9,11,21,17,19,19,14,12,22,12,15,55,53
ENSMAUG00000011995,1283,1619,1594,1197,1269,1654,1405,1683,1314,1685,1451,1458,1491,1218,1366,1132
ENSMAUG00000012463,624,731,666,539,518,586,572,800,600,556,626,589,518,578,694,677
ENSMAUG00000011866,2846,3682,3427,2712,2416,3572,3561,3993,3666,3067,3550,4437,3438,3762,5881,5786
ENSMAUG00000012574,25,56,19,55,17,36,38,32,26,24,43,49,36,39,60,68
ENSMAUG00000005548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000014796,2965,4249,4246,3337,3264,4107,3659,4379,3809,3871,3731,3624,3477,3451,3799,3638
ENSMAUG00000012209,1007,1273,1314,1126,1690,2118,1440,2440,1372,1537,1362,1188,1420,2099,405,375
ENSMAUG00000012243,1657,2069,2089,1706,1576,1948,1820,2361,2018,1882,1778,1743,1761,1738,1746,1751
ENSMAUG00000012432,682,868,787,723,596,731,825,820,748,759,889,1117,721,950,1513,1718
ENSMAUG00000012219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000012270,2234,2914,2819,2303,2193,2923,3068,3054,2197,2651,3163,3780,2795,3414,5411,4584
ENSMAUG00000007108,0,0,0,2,0,1,2,2,2,0,0,2,0,0,1,2
ENSMAUG00000012685,3734,4006,3994,3047,2992,3354,2999,4083,4231,3255,2950,2744,3072,2766,2080,2256
ENSMAUG00000018951,9,10,8,10,4,7,9,5,0,7,11,10,2,6,9,11
ENSMAUG00000002945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000013138,289,281,321,203,223,197,150,201,300,234,178,172,212,206,129,139
ENSMAUG00000015825,6,14,9,5,9,14,35,13,8,6,32,35,19,25,65,31
ENSMAUG00000013160,75,127,80,166,71,99,138,114,83,90,173,176,128,195,131,195
ENSMAUG00000013125,1013,1258,1338,1347,1397,1880,1384,1695,1343,1325,1256,1312,1281,1644,1534,1566
ENSMAUG00000014690,76,72,81,61,74,84,74,132,73,63,72,59,89,62,38,45
ENSMAUG00000013312,1189,1373,1265,1031,899,962,935,1239,1207,933,1005,891,962,917,1294,1192
ENSMAUG00000013498,556,822,473,876,341,560,663,597,389,370,977,1435,820,1026,1454,1818
ENSMAUG00000014420,546,759,719,586,564,707,717,740,619,606,655,713,657,722,1003,951
ENSMAUG00000013570,118,118,29,208,23,68,21,56,52,32,47,78,56,49,23,21
ENSMAUG00000015490,3587,5491,5319,4374,4896,5981,5260,5726,4649,5361,5204,5476,5203,4912,5858,5444
ENSMAUG00000015671,368,477,409,308,296,401,379,412,381,314,391,465,360,364,577,672
ENSMAUG00000015375,1708,2368,2247,1685,1596,2280,2316,1681,2364,1838,2514,3034,2363,2217,4506,3164
ENSMAUG00000017257,76,69,80,87,58,80,95,87,69,42,87,120,85,71,71,50
ENSMAUG00000015186,4,2,5,5,3,3,6,3,5,1,7,3,11,8,2,4
ENSMAUG00000015326,383,597,544,484,545,718,781,855,392,632,639,788,635,898,957,834
ENSMAUG00000014924,1431,1944,1800,1585,1449,1799,1497,1916,2035,1636,1550,1419,1548,1495,1164,1113
ENSMAUG00000013644,2660,2749,2528,2150,2041,1983,2225,2930,2279,1951,2038,2188,1825,2185,2780,2670
ENSMAUG00000013709,233,260,244,211,221,247,219,284,302,250,230,237,213,213,237,225
ENSMAUG00000017896,179,160,145,114,78,95,101,96,150,82,82,76,89,43,82,90
ENSMAUG00000018081,87,87,119,75,87,120,88,85,63,89,99,116,120,102,97,62
ENSMAUG00000016097,307,405,338,309,243,292,310,381,341,307,344,394,291,317,461,454
ENSMAUG00000016537,286,356,361,297,249,372,377,414,394,287,339,342,268,339,426,463
ENSMAUG00000015290,14,4,4,8,4,8,10,10,1,7,10,21,8,10,6,6
ENSMAUG00000007293,0,0,2,0,4,1,0,4,2,1,0,1,0,1,2,5
ENSMAUG00000015554,143,166,131,141,109,173,150,162,150,133,169,199,129,177,241,282
ENSMAUG00000014603,346,487,347,349,211,337,348,362,387,241,354,403,357,483,527,635
ENSMAUG00000015163,2516,3238,2891,2466,2729,3103,3202,3702,3040,2690,3012,3235,2735,3186,4280,4266
ENSMAUG00000017018,512,634,566,455,453,546,489,601,642,505,537,509,486,541,613,618
ENSMAUG00000017290,1098,1166,1183,943,956,1074,967,1174,1018,1007,974,939,963,881,1022,999
ENSMAUG00000014106,172,190,156,186,129,142,226,207,223,116,229,278,185,219,291,353
ENSMAUG00000004850,0,0,1,2,2,0,0,5,2,1,2,2,0,2,1,0
ENSMAUG00000015254,729,744,689,631,583,611,573,846,752,533,586,618,537,644,697,716
ENSMAUG00000015625,144,153,147,123,92,94,114,149,142,89,113,150,109,119,230,254
ENSMAUG00000017086,102,97,56,57,39,105,141,90,51,75,124,175,95,143,430,375
ENSMAUG00000016292,3333,4165,4473,3040,3695,4526,4230,6034,4015,4358,3632,3756,4169,5281,2499,2835
ENSMAUG00000017130,1984,2646,2526,2300,2375,2750,2844,3188,2747,2391,2642,2707,2451,2785,2521,2904
ENSMAUG00000017791,356,497,528,440,415,548,487,464,411,537,585,531,548,458,375,370
ENSMAUG00000015434,0,0,3,0,2,0,2,5,1,1,2,0,1,5,4,1
ENSMAUG00000013792,3,0,0,3,1,2,0,1,2,1,2,3,2,1,4,7
ENSMAUG00000016674,1353,1921,1746,1578,1642,2107,1776,2050,2066,1853,1626,1634,1780,1791,873,981
