Gene stable ID,Golden Hamster gene stable ID,Golden Hamster gene name,%id. target Golden Hamster gene identical to query gene,%id. query gene identical to target Golden Hamster gene,"Golden Hamster orthology confidence [0 low, 1 high]",Gene name
ENSMUSG00000064336,,,,,,mt-Tf
ENSMUSG00000064337,,,,,,mt-Rnr1
ENSMUSG00000064338,,,,,,mt-Tv
ENSMUSG00000064339,,,,,,mt-Rnr2
ENSMUSG00000064340,,,,,,mt-Tl1
ENSMUSG00000064341,ENSMAUG00000000006,ND1,85.5346,85.5346,1,mt-Nd1
ENSMUSG00000064342,,,,,,mt-Ti
ENSMUSG00000064343,,,,,,mt-Tq
ENSMUSG00000064344,,,,,,mt-Tm
ENSMUSG00000064345,ENSMAUG00000000010,ND2,64.9275,65.1163,1,mt-Nd2
ENSMUSG00000064346,,,,,,mt-Tw
ENSMUSG00000064347,,,,,,mt-Ta
ENSMUSG00000064348,,,,,,mt-Tn
ENSMUSG00000064349,,,,,,mt-Tc
ENSMUSG00000064350,,,,,,mt-Ty
ENSMUSG00000064351,ENSMAUG00000000016,COX1,97.4708,97.4708,1,mt-Co1
ENSMUSG00000064352,,,,,,mt-Ts1
ENSMUSG00000064353,,,,,,mt-Td
ENSMUSG00000064354,ENSMAUG00000000019,COX2,95.5947,95.5947,1,mt-Co2
ENSMUSG00000064355,,,,,,mt-Tk
ENSMUSG00000064356,ENSMAUG00000000021,ATP8,67.1642,67.1642,1,mt-Atp8
ENSMUSG00000064357,ENSMAUG00000000022,ATP6,84.5133,84.5133,1,mt-Atp6
ENSMUSG00000064358,ENSMAUG00000000023,COX3,93.8697,93.8697,1,mt-Co3
ENSMUSG00000064359,,,,,,mt-Tg
ENSMUSG00000064360,ENSMAUG00000000025,ND3,73.913,73.913,1,mt-Nd3
ENSMUSG00000064361,,,,,,mt-Tr
ENSMUSG00000065947,ENSMAUG00000000027,ND4L,78.5714,78.5714,1,mt-Nd4l
ENSMUSG00000064363,ENSMAUG00000000028,ND4,78.8671,78.8671,1,mt-Nd4
ENSMUSG00000064364,,,,,,mt-Th
ENSMUSG00000064365,,,,,,mt-Ts2
ENSMUSG00000064366,,,,,,mt-Tl2
ENSMUSG00000064367,ENSMAUG00000000032,ND5,71.3344,71.4521,1,mt-Nd5
ENSMUSG00000064368,ENSMAUG00000000033,ND6,62.7907,62.069,1,mt-Nd6
ENSMUSG00000064369,,,,,,mt-Te
ENSMUSG00000064370,ENSMAUG00000000035,CYTB,84.252,84.4737,1,mt-Cytb
ENSMUSG00000064371,,,,,,mt-Tt
